sentence1,sentence2,similarity
Không có người lái xe máy nào lái xe máy dọc theo đường,Một người đi xe máy đang lái xe máy dọc theo một con đường,0.74
Một người đàn ông đội mũ bảo hiểm sơn màu đỏ đang lái xe máy màu xanh trên đường,Một người đi xe máy đội mũ bảo hiểm màu đỏ đang lái một chiếc xe máy màu xanh trên đường,0.96
Một người đi xe máy không đội mũ bảo hiểm đang đợi trên một chiếc xe máy màu xanh gần đường,Một người đi xe máy đang lái xe máy dọc theo một con đường,0.66
Hai con chó đang chơi đùa bên một cái cây,Một con chó đang bắt một cây gậy trên không và một con khác đang quan sát,0.74
Hai con chó đang chơi đùa bên một cái cây,Không có con chó nào nhảy lên không trung,0.54
Hai con chó đang chơi đùa bên một cái cây,Một con chó đang nhảy cao trên không trung và một con khác đang quan sát,0.6
Một cô gái mặc đồ trắng đang nhảy múa,Người vũ công đang nhảy trước thiết bị âm thanh,0.8
Một cô gái mặc đồ trắng đang nhảy múa,Cô gái tóc vàng đang nhảy múa phía sau thiết bị âm thanh,0.66
Một cô gái mặc quần áo trắng và đang nhảy múa,Cô gái tóc vàng đang nhảy múa trước thiết bị âm thanh,0.7
Cô gái tóc vàng đang nhảy múa trước thiết bị âm thanh,Không có cô gái nào mặc đồ trắng đang nhảy múa,0.66
Ba đứa trẻ châu Á đang nhảy múa và một người đàn ông đang nhìn,Ba đứa trẻ châu Á đang nhảy múa và không có người đàn ông nào nhìn thấy,0.78
Ba đứa trẻ châu Á đang nhảy múa và một người đàn ông đang nhìn,Một người đàn ông châu Á đang nhảy và ba đứa trẻ đang nhìn,0.74
Những đứa trẻ trong một gia đình đang chơi và chờ đợi,Ba đứa trẻ châu Á đang nhảy và một người đàn ông nghiêm túc đang nhìn,0.38
Những đứa trẻ trong một gia đình đang kiên nhẫn chơi đùa và chờ đợi,Ba đứa trẻ châu Á đang nhảy múa và một người đàn ông đang nhìn,0.46
Không có trẻ em chơi đùa và chờ đợi,Ba đứa trẻ châu Á đang nhảy múa và một người đàn ông đang nhìn,0.32
Một người phụ nữ đang đội một chiếc mũ Ai Cập trên đầu,Một người phụ nữ đang đội mũ miện của người Ai Cập,0.86
Một người phụ nữ đang đội mũ miện của người Ai Cập,Một người phụ nữ đang đội mũ miện của người Ấn Độ,0.8
Người phụ nữ da đen đeo kính trên mũ đội đầu,Một người phụ nữ đang đội mũ miện của người Ai Cập,0.72
Một người phụ nữ đang đội một chiếc mũ Ai Cập trên đầu,Người phụ nữ đeo kính và đội mũ đen,0.5
Một người đi bộ đường dài đang ở trên đỉnh núi và đang nhảy múa,Không có người đi bộ đường dài nhảy múa trên đỉnh núi,0.64
Không có người đàn ông nào trên một tảng đá cao hơn một số cây đứng ở một vị trí kỳ lạ,Một người đàn ông đang ở trên một tảng đá cao hơn một số cây và đang đứng ở một vị trí kỳ lạ,0.86
Một người đi bộ đường dài đang ở trên đỉnh núi và đang nhảy múa,Một người đàn ông đang đứng trên một tảng đá cao hơn một số cây và đang đứng ở một vị trí không thoải mái,0.5
Một người đi bộ đường dài đang ở trên đỉnh núi và đang nhảy múa,Không có người đàn ông nào trên một tảng đá cao hơn một số cây đứng ở một vị trí kỳ lạ,0.5
Một người đàn ông đang ở trên một tảng đá cao hơn một số cây và đang đứng ở một vị trí kỳ lạ,Một người đi bộ đường dài đang ở trên đỉnh núi và đang nhảy múa vui vẻ,0.58
Không có người đi bộ đường dài nhảy múa trên đỉnh núi,Một người đàn ông đang ở trên một tảng đá cao hơn một số cây và đang đứng ở một vị trí kỳ lạ,0.48
Con ngựa nâu ở rất gần một cái thùng màu đỏ tại cuộc thi đấu rodeo,Con ngựa nâu ở gần một cái thùng màu đỏ tại cuộc thi đấu rodeo,0.96
Con ngựa nâu ở gần một cái thùng màu đỏ tại cuộc thi đấu rodeo,Con ngựa nâu khác xa với con ngựa đỏ ở cuộc thi đấu rodeo,0.72
Một cô gái chăn bò đang cưỡi một con ngựa nâu và đang dồn một thùng rượu vào góc,Con ngựa nâu ở gần một cái thùng màu đỏ tại cuộc thi đấu rodeo,0.64
Một cô gái chăn bò đang cưỡi ngựa và dồn một thùng rượu vào góc,Con ngựa nâu ở gần một cái thùng màu đỏ tại cuộc thi đấu rodeo,0.76
Một cậu bé đang đứng trong nước lạnh,Một cậu bé đang đứng trong nước,0.82
Cậu bé đang ngồi gần đại dương xanh,Cậu bé đang lội qua đại dương xanh,0.64
Một cậu bé đang đứng trong nước,Đứa trẻ đang bơi qua đại dương xanh,0.6
Cậu bé đang lội qua đại dương xanh,Một cậu bé đang đứng trong nước lạnh,0.66
Một người đàn ông đang chơi đàn ghi-ta trên sân khấu,Không có người đàn ông nào chơi đàn ghi-ta trên sân khấu,0.72
Một người đàn ông đang chơi đàn ghi-ta trên sân khấu,Một nghệ sĩ guitar có mái tóc vàng hoe và bay bay,0.6
Một người đàn ông đang chơi đàn ghi-ta trên sân khấu,Một người hói đang chơi đàn ghi-ta,0.76
Không có người đàn ông nào chơi đàn ghi-ta trên sân khấu,Một người có mái tóc vàng hoe và bay bay đang chơi đàn ghi-ta,0.68
Một số trẻ em đang ngồi xuống và nâng đầu gối lên,Một số trẻ em đang nằm xuống và giơ đầu gối lên,0.8
Hai cô gái trẻ đang ngồi trên mặt đất,Hai cô gái đang ngồi trên mặt đất,0.88
Hai cô gái đang nằm trên mặt đất,Một số trẻ em đang ngồi xuống và nâng đầu gối lên,0.56
Một phụ nữ khỏa thân đang đi trước đám đông với cơ thể được sơn vẽ, Không có người phụ nữ nào đi bộ với lớp sơn trên cơ thể trước đám đông,0.58
Một phụ nữ khỏa thân đang đi trước đám đông với cơ thể được sơn vẽ, Một đám đông khỏa thân với lớp sơn trên cơ thể đang đi trước một người phụ nữ,0.62
"Một phụ nữ trẻ, ngực trần phủ đầy sơn",Một cô gái ngực trần phủ đầy sơn,0.88
Một phụ nữ khỏa thân đang đi trước đám đông với cơ thể được sơn vẽ,Một cô gái ngực trần phủ đầy sơn,0.76
 Một đám đông khỏa thân với lớp sơn trên cơ thể đang đi trước một người phụ nữ,"Một phụ nữ trẻ, ngực trần phủ đầy sơn",0.6
Một phụ nữ khỏa thân đang đi trước đám đông với cơ thể được sơn vẽ,"Một phụ nữ trẻ, ngực trần phủ đầy sơn",0.84
Một nhóm người đang ở gần bờ biển,Một đám đông người đang ở gần bờ nước,0.86
Một đám đông người đang ở gần bờ nước,Một đám đông người ở xa nước,0.76
Một nhóm trẻ em mặc đồng phục đang đứng ở cổng và một đứa đang hôn mẹ,Một nhóm trẻ em mặc cùng một bộ quần áo đang đợi ở cổng và một đứa đang hôn mẹ,0.9
Một nhóm các bà mẹ mặc đồng phục đang đứng gần những đứa trẻ và một người đang hôn cổng,Một nhóm trẻ em mặc đồng phục đang đứng ở cổng và một đứa đang hôn mẹ,0.66
Một người đàn ông đang ở bãi đậu xe và đang chơi quần vợt với một bức tường lớn,Một người đàn ông đang ở bãi đậu xe và đang chơi quần vợt với một người bạn,0.78
Một người đàn ông đang ở bãi đậu xe và đang chơi quần vợt với một bức tường lớn,Không có người đàn ông nào chỉ vào một chiếc xe,0.3
Một người đàn ông đang ở bãi đậu xe và đang chơi quần vợt với một người bạn,Một người đàn ông đang chỉ vào một chiếc xe màu bạc,0.26
Một nhóm người đang ở trên bãi biển,Một nhóm người đang ở gần biển,0.8
Một nhóm người đang ở trên bãi biển,Một nhóm người đang ở trên núi,0.52
"Một người đàn ông, một người phụ nữ và hai cô gái đang đi bộ trên bãi biển",Bốn người đang đi bộ trên bãi biển,0.9
Một nhóm người đang ở trên bãi biển,Bốn người đang đi bộ trên bãi biển,0.92
"Một người đàn ông, một người phụ nữ và hai cô gái đang đi bộ trên bãi biển",Một nhóm người đang ở trên núi,0.28
"Một người đàn ông, một người phụ nữ và hai cô gái đang đi bộ trên bãi biển",Một nhóm người đang ở trên bãi biển,0.86
Một nữ sinh mang theo một chiếc túi màu đen trên một chuyến tàu đông đúc,Một cô gái với chiếc túi màu đen trên một chuyến tàu đông đúc,0.94
Không có cô gái nào mang theo túi đen trên chuyến tàu đông đúc,Một cô gái với chiếc túi màu đen trên một chuyến tàu đông đúc,0.74
Một cô gái với chiếc túi màu đen trên một chuyến tàu đông đúc,Một chuyến tàu đen chật chội nằm trên chiếc túi của một cô gái,0.54
Một phụ nữ châu Á trong đám đông không mang theo túi màu đen,Một phụ nữ châu Á trong đám đông đang mang một chiếc túi màu đen,0.76
Một cô gái với chiếc túi màu đen trên một chuyến tàu đông đúc,Một phụ nữ châu Á trong đám đông không mang theo túi màu đen,0.5
Một nữ sinh mang theo một chiếc túi màu đen trên một chuyến tàu đông đúc,Một phụ nữ châu Á trong đám đông đang mang một chiếc túi màu đen,0.56
Một con chó đang đuổi theo một con chó khác và đang ngậm một cây gậy trong miệng,Một con chó đang đuổi theo một con chó khác và đang ngậm một miếng gỗ trong miệng,0.92
Hai con chó đang chạy và ngậm một món đồ chơi trong miệng,Hai con chó đang chạy và mang một vật trong miệng,0.86
Một con chó đang đuổi theo một con chó khác và đang ngậm một miếng gỗ trong miệng,Hai con chó đang chạy và mang một vật trong miệng,0.78
Hai con chó đang chạy và mang một vật trong miệng,Một con chó đang đuổi theo một cây gậy và ngậm một con chó khác trong miệng,0.64
Một con chó đang đuổi theo một con chó khác và đang ngậm một cây gậy trong miệng,Hai con chó đang chạy và mang một vật trong miệng,0.8
Một quả bóng đá bẩn đang lăn vào lưới,Một quả bóng đá đang lăn vào lưới,0.9
Một quả bóng đá không lăn vào lưới,Một quả bóng đá đang lăn vào lưới,0.68
Một người chơi bóng đá đang đá một quả bóng vào khung thành,Một quả bóng đá đang lăn vào lưới,0.82
Một quả bóng đá đang lăn vào lưới,Một cầu thủ bóng đá đang đá một quả bóng ra khỏi khung thành,0.64
Một quả bóng đá đang lăn vào lưới,Một cầu thủ bóng đá đang đá bóng vào khung thành,0.86
Một người đàn ông đang ngồi trên ghế và dụi mắt,Không có người đàn ông nào ngồi trên ghế và dụi mắt,0.76
Một người đàn ông có hình xăm đang nằm dài trên ghế dài và cầm một cây bút chì,Một người đàn ông xăm mình đang ngồi trên ghế sofa và cầm một cây bút chì,0.88
Một người đàn ông có hình xăm đang nằm dài trên ghế dài và cầm một cây bút chì,Một người đàn ông có hình xăm đang nằm dài trên ghế dài và đang tìm một cây bút chì,0.58
Một người đàn ông có hình xăm đang cầm một chiếc ghế dài bằng bút chì,Một người đàn ông có hình xăm đang nằm dài trên ghế dài và cầm một cây bút chì,0.52
Một người đàn ông đang ngồi trên ghế và dụi mắt,Một người đàn ông có hình xăm đang nằm dài trên ghế dài và đang tìm một cây bút chì,0.42
Một người đàn ông có hình xăm đang cầm một chiếc ghế dài bằng bút chì,Một người đàn ông đang ngồi trên ghế và dụi mắt,0.4
Một người đàn ông đang nghỉ ngơi trên ghế và dụi mắt,Một người đàn ông có hình xăm đang nằm dài trên ghế dài và cầm một cây bút chì,0.5
Một người đàn ông có hình xăm đang nằm dài trên ghế dài và cầm một cây bút chì,Không có người đàn ông nào ngồi trên ghế và dụi mắt,0.32
Một người đàn ông có hình xăm đang nằm dài trên ghế dài và cầm một cây bút chì,Một người đàn ông đang ngồi trên ghế và dụi mắt,0.48
Một con chó nâu và trắng đang chạy qua bãi cỏ cao,Một con chó đen và nâu đang chạy qua bãi cỏ thấp và xanh,0.76
Một chú chó trắng và rám nắng đang chạy qua bãi cỏ cao và xanh,Một con chó nâu và trắng đang chạy qua bãi cỏ cao,0.92
Một người đàn ông với bộ quần áo phủ đầy sơn đang ngồi bên ngoài ở một khu vực đông đúc và viết điều gì đó,Một người đàn ông mặc quần áo dính đầy sơn và đang ngồi bên ngoài ở một khu vực đông đúc để viết điều gì đó,0.96
Không có người đàn ông nào mặc quần áo dính đầy sơn hoặc ngồi bên ngoài ở một khu vực đông đúc để viết điều gì đó,Một người đàn ông mặc quần áo dính đầy sơn và đang ngồi bên ngoài ở một khu vực đông đúc để viết điều gì đó,0.82
Một người đàn ông đang ngồi viết gì đó trên một khu vực phủ đầy sơn,Một người đàn ông mặc quần áo dính đầy sơn và đang ngồi bên ngoài ở một khu vực đông đúc để viết điều gì đó,0.74
Một người đàn ông đang ngồi gần một chiếc xe đạp và đang viết một ghi chú,Không có người đàn ông nào viết một ghi chú gần một chiếc xe đạp,0.84
Một người đàn ông mặc quần áo dính đầy sơn và đang ngồi bên ngoài ở một khu vực đông đúc để viết điều gì đó,Một người đàn ông đang đứng gần một chiếc xe đạp và đang viết trên một tờ giấy,0.52
Không có người đàn ông nào viết một ghi chú gần một chiếc xe đạp,Một người đàn ông mặc quần áo dính đầy sơn và đang ngồi bên ngoài ở một khu vực đông đúc để viết điều gì đó,0.54
Một người đàn ông đang ngồi gần một chiếc xe đạp và đang viết một ghi chú,Một người đàn ông với bộ quần áo phủ đầy sơn đang ngồi bên ngoài ở một khu vực đông đúc và viết điều gì đó,0.62
Một nhóm hướng đạo sinh đang cắm trại trên bãi cỏ,Một nhóm hướng đạo sinh đang đi bộ đường dài qua bãi cỏ,0.7
Một số người đang đi bộ,Mọi người đang đi bộ,0.94
Một số người đang đi bộ,Một nhóm hướng đạo sinh đang cắm trại trên bãi cỏ,0.3
Một nhóm hướng đạo sinh đang đi bộ đường dài qua bãi cỏ,Một số người đang đi bộ,0.64
Hai người đàn ông đang nghỉ ngơi sau chuyến đi trên con đường tuyết,Hai người đàn ông đang đột nhập vào một chiếc ô tô trong chuyến đi trên con đường đầy tuyết,0.6
Hai người đàn ông đi xe đạp ở bên lề đường tuyết,Hai người đàn ông lái xe ô tô đang ở bên lề đường tuyết,0.7
Hai người đàn ông đang cầm cần câu và đồ câu cá,Hai người đàn ông đang cầm cần câu,0.86
Hai người đàn ông không cầm cần câu,Hai người đàn ông đang cầm cần câu,0.64
Hai người đàn ông đang cầm cần câu,Hai người đàn ông đang đứng gần mặt nước và đang cầm những dụng cụ dùng để câu cá,0.86
Không có người đàn ông nào đứng gần mặt nước và cầm cần câu,Hai người đàn ông đang cầm cần câu,0.64
Cô gái đội mũ bảo hiểm đang đi xe đạp,Cô gái đội mũ bảo hiểm đang ngồi trên xe đạp,0.84
Một người phụ nữ đang biểu diễn một trò ảo thuật trên đường dốc bằng xe đạp,Một người phụ nữ đang nhảy với một chiếc xe đạp,0.86
Một người phụ nữ đang biểu diễn một trò ảo thuật trên đường dốc bằng xe đạp,Một người phụ nữ đang biểu diễn một trò ảo thuật trên đường dốc bằng ô tô,0.48
Cô gái đội mũ bảo hiểm đang ngồi trên xe đạp,Một người phụ nữ đang biểu diễn một trò ảo thuật trên đường dốc bằng ô tô,0.38
Cô gái đội mũ bảo hiểm đang ngồi trên xe đạp,Một người phụ nữ đang biểu diễn một trò ảo thuật trên đường dốc bằng xe đạp,0.58
Cô gái đội mũ bảo hiểm đang đi xe đạp,Một người phụ nữ đang biểu diễn một trò ảo thuật trên đường dốc bằng xe đạp,0.74
Một người phụ nữ đang biểu diễn một trò ảo thuật trên đường dốc bằng xe đạp,Cô gái đội mũ bảo hiểm đang ngồi trên xe đạp,0.66
Một cô gái tóc vàng đang lướt sóng,Một cô gái tóc vàng đang cưỡi sóng,0.94
Một người phụ nữ đang lướt sóng và cưỡi một con sóng,Một cậu bé đang lướt sóng và cưỡi sóng,0.7
Một người phụ nữ đang lướt sóng,Một cô gái tóc vàng đang cưỡi sóng,0.8
Một người phụ nữ đang lướt sóng và cưỡi một con sóng,Một cô gái tóc vàng đang lướt sóng,0.72
Một cô gái tóc vàng vẫy tay trong khi đang cưỡi ngựa,Một người phụ nữ đang lướt sóng và cưỡi một con sóng,0.46
Hai đứa trẻ và một người lớn đang đứng cạnh một cành cây,Hai đứa trẻ và một người lớn không đứng cạnh cành cây,0.72
Hai đứa trẻ và một người lớn đang đứng cạnh một cành cây,Hai đứa trẻ đang trèo cây,0.6
Hai đứa trẻ và một người lớn đang đứng cạnh một cành cây,Hai đứa trẻ đang treo mình trên một cành cây lớn,0.54
Một người đàn ông mặc đồ đen đang đi xe đạp,Một người đàn ông đang biểu diễn một trò ảo thuật trên xe đạp,0.7
Một người đàn ông đang biểu diễn các pha nguy hiểm trên chiếc xe đạp màu xanh lá cây,Một người đàn ông đang biểu diễn một trò ảo thuật trên chiếc xe đạp màu xanh lá cây,0.94
Không có người đàn ông nào mặc đồ đen và đi xe đạp màu xanh lá cây,Một người đàn ông đang biểu diễn một trò ảo thuật trên chiếc xe đạp màu xanh lá cây,0.68
Một cậu bé đang cầm một khẩu súng phun nước,Một đứa trẻ đang cầm một khẩu súng phun nước,0.9
Một đứa trẻ đang cười đang cầm súng nước và bị phun nước,Một đứa trẻ cầm khẩu súng phun nước đang cười và bị những đứa trẻ khác đánh,0.8
Không có đứa trẻ nào cầm súng nước hoặc bị phun nước,Một đứa trẻ đang cười đang cầm súng nước và bị phun nước,0.8
Một đứa trẻ cầm khẩu súng phun nước đang cười và bị những đứa trẻ khác đánh,Một đứa trẻ đang cầm một khẩu súng phun nước,0.78
Hai chú chó dachshund đang chơi với một quả bóng màu đỏ,Hai con chó đang chơi với một quả bóng nhỏ màu đỏ,0.84
Hai con mèo đang chơi với một quả bóng màu đỏ,Hai chú chó dachshund đang chơi với một quả bóng màu đỏ,0.66
Hai chú chó nâu đang tranh giành một quả bóng đỏ và đang chơi đùa trên bãi cỏ,Hai con chó đang chơi với một quả bóng nhỏ màu đỏ,0.76
Không có con chó nào chơi với quả bóng màu đỏ,Hai chú chó dachshund đang chơi với một quả bóng màu đỏ,0.6
Con chó đen trắng đang chạy và một người đứng đằng sau nó,"Con chó, màu đen và trắng, đang chạy và một người đứng đằng sau nó",0.98
