sentence1	sentence2	similarity
M?t ng??i ?Ön ìng ?ang nh?y xu?ng m?t h? b?i tr?ng r?ng	?o len c?a ng??i ?Ön ìng ?ang ? trong h? b?i tr?ng r?ng	0.62
M?t ng??i ?i xe ??p ??n ??c ?ang nh?y làn khìng trung	M?t ng??i ?Ön ìng ?ang nh?y vÖo m?t h? b?i ??y n??c	0.34
?o len c?a ng??i ?Ön ìng ?ang ? trong h? b?i tr?ng r?ng	M?t ng??i ?i xe ??p ??n ??c ?ang nh?y làn khìng trung	0.28
M?t ng??i ?i xe ??p ??n ??c ?ang nh?y làn khìng trung	M?t ng??i ?Ön ìng ?ang nh?y xu?ng m?t h? b?i tr?ng r?ng	0.3
B?n ??a tr? ?ang t?p u?n l?ng trong cìng viàn	B?n ??a tr? ?ang t?p u?n l?ng trong cìng viàn	0.96
B?n ??a tr? ?ang t?p u?n l?ng trong phïng t?p th? d?c	B?n ??a tr? ?ang t?p u?n l?ng trong cìng viàn	0.76
B?n cì g†i ?ang u?n l?ng vÖ ch?i trong v??n	B?n cì g†i ?ang u?n l?ng vÖ ch?i ngoÖi tr?i	0.82
M?t ng??i ?Ön ìng ?ang ch?i ?ang ch?y v?i qu? b¢ng tràn tay	M?t c?u th? ?ang ch?y v?i qu? b¢ng	0.86
Hai nh¢m ng??i ?ang ch?i b¢ng ?†	M?t c?u th? ?ang ch?y v?i qu? b¢ng	0.42
Hai ??i ?ang thi ??u trong m?t tr?n b¢ng chÖy	M?t c?u th? ?ang ch?y v?i qu? b¢ng	0.6
M?t c?u th? ?ang ch?y v?i qu? b¢ng	Hai ??i ?ang thi ??u trong m?t tr?n b¢ng ?†	0.52
C¢ n?m gi† g? ? ph°a tr??c m?i t£p l?u c?a tr? em	N?m ??a tr? ?ang ??ng tr??c m?t t£p l?u g?	0.64
N?m ??a tr? ??ng g?n nhau vÖ m?t ??a tr? c¢ s£ng	N?m ??a tr? ?ang ??ng g?n nhau vÖ khìng ??a tr? nÖo c¢ s£ng	0.74
N?m ??a tr? ?ang ??ng g?n nhau vÖ khìng ??a tr? nÖo c¢ s£ng	N?m ??a tr? ?ang ??ng tr??c m?t t£p l?u g?	0.52
N?m ??a tr? ?ang ??ng trong m?t t£p l?u g?	N?m ??a tr? ??ng g?n nhau vÖ m?t ??a tr? c¢ s£ng	0.54
C¢ n?m gi† g? ? ph°a tr??c m?i t£p l?u c?a tr? em	N?m ??a tr? ??ng g?n nhau vÖ m?t ??a tr? c¢ s£ng	0.46
M?t ìng giÖ ?ang ng?i tràn c†nh ??ng	M?t ng??i ?Ön ìng ?ang ng?i tràn m?t c†nh ??ng	0.88
M?t ng??i ?Ön ìng ?ang ng?i tràn m?t c†nh ??ng	M?t ng??i ?Ön ìng ?ang ch?y tràn m?t c†nh ??ng	0.52
M?t ng??i ?ang ??i m? vÖ ?ang ng?i tràn c?	M?t ng??i ?ang ng?i tràn c†nh ??ng vÖ ?ang ??i m?	0.82
M?t ng??i ?ang ng?i vÖ ??i m?t chi?c m? c?	M?t ng??i ?ang ??i m? vÖ ?ang ng?i tràn c?	0.68
M?t ng??i ?ang ng?i vÖ ??i m?t chi?c m? c?	M?t ng??i ?Ön ìng ?ang ng?i tràn m?t c†nh ??ng	0.66
M?t ng??i ?Ön ìng ?ang ng?i tràn m?t c†nh ??ng	M?t ng??i ?ang ??i m? vÖ ?ang ng?i tràn c?	0.76
Dïng n??c ?ang ???c m?t nh¢m b?n chäo tràn bä	M?t nh¢m b?n ?ang chäo thuy?n tràn dïng n??c	0.98
M?t nh¢m b?n ?ang chäo thuy?n tràn dïng n??c	M?t nh¢m khìng ?i theo dïng n??c tràn bä	0.74
Dïng n??c ?ang ???c m?t nh¢m b?n chäo tràn bä	Nh¢m ng??i nÖy ?ang th?c hÖnh an toÖn d??i n??c vÖ m?c ?? b?o h?	0.64
M?t nh¢m b?n ?ang chäo thuy?n tràn dïng n??c	Nh¢m ng??i nÖy ?ang th?c hÖnh an toÖn d??i n??c vÖ m?c ?? b?o h?	0.62
M?t con nai ?ang nh?y qua hÖng rÖo	Con nai khìng nh?y qua hÖng rÖo	0.78
M?i ng??i ?ang ?i b? bàn trong m?t tïa nhÖ c¢ nhi?u b?c tranh t??ng tràn ?¢	M?i ng??i ?ang ?i b? bàn ngoÖi m?t tïa nhÖ c¢ nhi?u b?c tranh t??ng	0.68
M?t s? ng??i ?ang ? tr??c m?t tïa nhÖ ??y mÖu s?c	Khìng c¢ ai ? tr??c tïa nhÖ ??y mÖu s?c	0.7
M?i ng??i ?ang ?i b? bàn ngoÖi m?t tïa nhÖ c¢ nhi?u b?c tranh t??ng	Khìng c¢ ai ? tr??c tïa nhÖ ??y mÖu s?c	0.72
M?i ng??i ?ang ?i b? bàn ngoÖi tïa nhÖ c¢ nhi?u b?c tranh t??ng	M?t s? ng??i ?ang ? tr??c m?t tïa nhÖ ??y mÖu s?c	0.72
M?t gia ?çnh ?ang xem m?t c?u bÇ ?ang ?†nh b¢ng chÖy	M?t gia ?çnh ?ang trìng ch?ng m?t c?u bÇ b? m?t m?t qu? b¢ng chÖy	0.78
M?t ??a tr? ?ang ?†nh b¢ng chÖy	M?t gia ?çnh ?ang trìng ch?ng m?t c?u bÇ b? m?t m?t qu? b¢ng chÖy	0.603
M?t ??a tr? b? m?t m?t qu? b¢ng chÖy	M?t gia ?çnh ?ang xem m?t c?u bÇ ?ang ?†nh b¢ng chÖy	0.54
M?t ?†m ?ìng mÖu t°m ?ang ?n tràn nh?ng chi?c bÖn trong nhÖ hÖng ???c th?p s†ng b?ng ?än ??	Nhi?u ng??i ?ang ?n ? nh?ng chi?c bÖn mÖu ?? trong m?t nhÖ hÖng ?ìng ?£c v?i †nh ?än mÖu t°m	0.66
M?t nh¢m l?n ng??i ChÉu ? ?ang ?n ? m?t nhÖ hÖng	Nhi?u kh†ch hÖng ?ang ?n trong m?t nhÖ hÖng ?ìng ?£c v?i ?än mÖu t°m	0.58
M?t ?†m ?ìng mÖu t°m ?ang ?n tràn nh?ng chi?c bÖn trong nhÖ hÖng ???c th?p s†ng b?ng ?än ??	M?t nh¢m l?n ng??i ChÉu ? ?ang ?n ? m?t nhÖ hÖng	0.62
Nhi?u ng??i ?ang ?n ? nh?ng chi?c bÖn mÖu ?? trong m?t nhÖ hÖng ?ìng ?£c v?i †nh ?än mÖu t°m	M?t nh¢m nh? ng??i ?ang ch? ?n trong m?t nhÖ hÖng	0.64
M?t ng??i l†i xe m†y ?ang ??ng tràn yàn xe m†y mÖu tr?ng	Khìng c¢ ng??i l†i xe m†y nÖo ??ng tràn yàn xe m†y	0.76
Khìng c¢ ai ng?i tràn xe m†y vÖ ??ng tràn gh?	C¢ ng??i ?ang ng?i tràn chi?c xe m†y mÖu ?en vÖ tr?ng vÖ ?ang ??ng tràn gh?	0.74
M?t ng??i l†i xe m†y ?ang l†i xe m†y m?t c†ch nguy hi?m tràn ???ng	M?t ng??i ?i xe m†y ?ang l†i xe m†y d?c theo m?t con ???ng	0.92
Khìng c¢ ng??i l†i xe m†y nÖo l†i xe m†y d?c theo ???ng	M?t ng??i ?i xe m†y ?ang l†i xe m†y d?c theo m?t con ???ng	0.74
M?t ng??i ?Ön ìng ??i m? b?o hi?m s?n mÖu ?? ?ang l†i xe m†y mÖu xanh tràn ???ng	M?t ng??i ?i xe m†y ??i m? b?o hi?m mÖu ?? ?ang l†i m?t chi?c xe m†y mÖu xanh tràn ???ng	0.96
M?t ng??i ?i xe m†y khìng ??i m? b?o hi?m ?ang ??i tràn m?t chi?c xe m†y mÖu xanh g?n ???ng	M?t ng??i ?i xe m†y ?ang l†i xe m†y d?c theo m?t con ???ng	0.66
Hai con ch¢ ?ang ch?i ?óa bàn m?t c†i cÉy	M?t con ch¢ ?ang b?t m?t cÉy g?y tràn khìng vÖ m?t con kh†c ?ang quan s†t	0.74
Hai con ch¢ ?ang ch?i ?óa bàn m?t c†i cÉy	Khìng c¢ con ch¢ nÖo nh?y làn khìng trung	0.54
Hai con ch¢ ?ang ch?i ?óa bàn m?t c†i cÉy	M?t con ch¢ ?ang nh?y cao tràn khìng trung vÖ m?t con kh†c ?ang quan s†t	0.6
M?t cì g†i m?c ?? tr?ng ?ang nh?y m£a	Ng??i v? cìng ?ang nh?y tr??c thi?t b? Ém thanh	0.8
M?t cì g†i m?c ?? tr?ng ?ang nh?y m£a	Cì g†i t¢c vÖng ?ang nh?y m£a ph°a sau thi?t b? Ém thanh	0.66
M?t cì g†i m?c qu?n †o tr?ng vÖ ?ang nh?y m£a	Cì g†i t¢c vÖng ?ang nh?y m£a tr??c thi?t b? Ém thanh	0.7
Cì g†i t¢c vÖng ?ang nh?y m£a tr??c thi?t b? Ém thanh	Khìng c¢ cì g†i nÖo m?c ?? tr?ng ?ang nh?y m£a	0.66
Ba ??a tr? chÉu ? ?ang nh?y m£a vÖ m?t ng??i ?Ön ìng ?ang nhçn	Ba ??a tr? chÉu ? ?ang nh?y m£a vÖ khìng c¢ ng??i ?Ön ìng nÖo nhçn th?y	0.78
Ba ??a tr? chÉu ? ?ang nh?y m£a vÖ m?t ng??i ?Ön ìng ?ang nhçn	M?t ng??i ?Ön ìng chÉu ? ?ang nh?y vÖ ba ??a tr? ?ang nhçn	0.74
Nh?ng ??a tr? trong m?t gia ?çnh ?ang ch?i vÖ ch? ??i	Ba ??a tr? chÉu ? ?ang nh?y vÖ m?t ng??i ?Ön ìng nghiàm t£c ?ang nhçn	0.38
Nh?ng ??a tr? trong m?t gia ?çnh ?ang kiàn nh?n ch?i ?óa vÖ ch? ??i	Ba ??a tr? chÉu ? ?ang nh?y m£a vÖ m?t ng??i ?Ön ìng ?ang nhçn	0.46
Khìng c¢ tr? em ch?i ?óa vÖ ch? ??i	Ba ??a tr? chÉu ? ?ang nh?y m£a vÖ m?t ng??i ?Ön ìng ?ang nhçn	0.32
M?t ng??i ph? n? ?ang ??i m?t chi?c m? Ai C?p tràn ??u	M?t ng??i ph? n? ?ang ??i m? mi?n c?a ng??i Ai C?p	0.86
M?t ng??i ph? n? ?ang ??i m? mi?n c?a ng??i Ai C?p	M?t ng??i ph? n? ?ang ??i m? mi?n c?a ng??i ?n ??	0.8
Ng??i ph? n? da ?en ?eo k°nh tràn m? ??i ??u	M?t ng??i ph? n? ?ang ??i m? mi?n c?a ng??i Ai C?p	0.72
M?t ng??i ph? n? ?ang ??i m?t chi?c m? Ai C?p tràn ??u	Ng??i ph? n? ?eo k°nh vÖ ??i m? ?en	0.5
M?t ng??i ?i b? ???ng dÖi ?ang ? tràn ??nh n£i vÖ ?ang nh?y m£a	Khìng c¢ ng??i ?i b? ???ng dÖi nh?y m£a tràn ??nh n£i	0.64
Khìng c¢ ng??i ?Ön ìng nÖo tràn m?t t?ng ?† cao h?n m?t s? cÉy ??ng ? m?t v? tr° k? l?	M?t ng??i ?Ön ìng ?ang ? tràn m?t t?ng ?† cao h?n m?t s? cÉy vÖ ?ang ??ng ? m?t v? tr° k? l?	0.86
M?t ng??i ?i b? ???ng dÖi ?ang ? tràn ??nh n£i vÖ ?ang nh?y m£a	M?t ng??i ?Ön ìng ?ang ??ng tràn m?t t?ng ?† cao h?n m?t s? cÉy vÖ ?ang ??ng ? m?t v? tr° khìng tho?i m†i	0.5
M?t ng??i ?i b? ???ng dÖi ?ang ? tràn ??nh n£i vÖ ?ang nh?y m£a	Khìng c¢ ng??i ?Ön ìng nÖo tràn m?t t?ng ?† cao h?n m?t s? cÉy ??ng ? m?t v? tr° k? l?	0.5
M?t ng??i ?Ön ìng ?ang ? tràn m?t t?ng ?† cao h?n m?t s? cÉy vÖ ?ang ??ng ? m?t v? tr° k? l?	M?t ng??i ?i b? ???ng dÖi ?ang ? tràn ??nh n£i vÖ ?ang nh?y m£a vui v?	0.58
Khìng c¢ ng??i ?i b? ???ng dÖi nh?y m£a tràn ??nh n£i	M?t ng??i ?Ön ìng ?ang ? tràn m?t t?ng ?† cao h?n m?t s? cÉy vÖ ?ang ??ng ? m?t v? tr° k? l?	0.48
Con ng?a nÉu ? r?t g?n m?t c†i thóng mÖu ?? t?i cu?c thi ??u rodeo	Con ng?a nÉu ? g?n m?t c†i thóng mÖu ?? t?i cu?c thi ??u rodeo	0.96
Con ng?a nÉu ? g?n m?t c†i thóng mÖu ?? t?i cu?c thi ??u rodeo	Con ng?a nÉu kh†c xa v?i con ng?a ?? ? cu?c thi ??u rodeo	0.72
M?t cì g†i ch?n bï ?ang c??i m?t con ng?a nÉu vÖ ?ang d?n m?t thóng r??u vÖo g¢c	Con ng?a nÉu ? g?n m?t c†i thóng mÖu ?? t?i cu?c thi ??u rodeo	0.64
M?t cì g†i ch?n bï ?ang c??i ng?a vÖ d?n m?t thóng r??u vÖo g¢c	Con ng?a nÉu ? g?n m?t c†i thóng mÖu ?? t?i cu?c thi ??u rodeo	0.76
M?t c?u bÇ ?ang ??ng trong n??c l?nh	M?t c?u bÇ ?ang ??ng trong n??c	0.82
C?u bÇ ?ang ng?i g?n ??i d??ng xanh	C?u bÇ ?ang l?i qua ??i d??ng xanh	0.64
M?t c?u bÇ ?ang ??ng trong n??c	??a tr? ?ang b?i qua ??i d??ng xanh	0.6
C?u bÇ ?ang l?i qua ??i d??ng xanh	M?t c?u bÇ ?ang ??ng trong n??c l?nh	0.66
M?t ng??i ?Ön ìng ?ang ch?i ?Ön ghi-ta tràn sÉn kh?u	Khìng c¢ ng??i ?Ön ìng nÖo ch?i ?Ön ghi-ta tràn sÉn kh?u	0.72
M?t ng??i ?Ön ìng ?ang ch?i ?Ön ghi-ta tràn sÉn kh?u	M?t ngh? s? guitar c¢ m†i t¢c vÖng hoe vÖ bay bay	0.6
M?t ng??i ?Ön ìng ?ang ch?i ?Ön ghi-ta tràn sÉn kh?u	M?t ng??i h¢i ?ang ch?i ?Ön ghi-ta	0.76
Khìng c¢ ng??i ?Ön ìng nÖo ch?i ?Ön ghi-ta tràn sÉn kh?u	M?t ng??i c¢ m†i t¢c vÖng hoe vÖ bay bay ?ang ch?i ?Ön ghi-ta	0.68
M?t s? tr? em ?ang ng?i xu?ng vÖ nÉng ??u g?i làn	M?t s? tr? em ?ang n?m xu?ng vÖ gi? ??u g?i làn	0.8
Hai cì g†i tr? ?ang ng?i tràn m?t ??t	Hai cì g†i ?ang ng?i tràn m?t ??t	0.88
Hai cì g†i ?ang n?m tràn m?t ??t	M?t s? tr? em ?ang ng?i xu?ng vÖ nÉng ??u g?i làn	0.56
M?t ph? n? kh?a thÉn ?ang ?i tr??c ?†m ?ìng v?i c? th? ???c s?n v?	 Khìng c¢ ng??i ph? n? nÖo ?i b? v?i l?p s?n tràn c? th? tr??c ?†m ?ìng	0.58
M?t ph? n? kh?a thÉn ?ang ?i tr??c ?†m ?ìng v?i c? th? ???c s?n v?	 M?t ?†m ?ìng kh?a thÉn v?i l?p s?n tràn c? th? ?ang ?i tr??c m?t ng??i ph? n?	0.62
"M?t ph? n? tr?, ng?c tr?n ph? ??y s?n"	M?t cì g†i ng?c tr?n ph? ??y s?n	0.88
M?t ph? n? kh?a thÉn ?ang ?i tr??c ?†m ?ìng v?i c? th? ???c s?n v?	M?t cì g†i ng?c tr?n ph? ??y s?n	0.76
 M?t ?†m ?ìng kh?a thÉn v?i l?p s?n tràn c? th? ?ang ?i tr??c m?t ng??i ph? n?	"M?t ph? n? tr?, ng?c tr?n ph? ??y s?n"	0.6
M?t ph? n? kh?a thÉn ?ang ?i tr??c ?†m ?ìng v?i c? th? ???c s?n v?	"M?t ph? n? tr?, ng?c tr?n ph? ??y s?n"	0.84
M?t nh¢m ng??i ?ang ? g?n b? bi?n	M?t ?†m ?ìng ng??i ?ang ? g?n b? n??c	0.86
M?t ?†m ?ìng ng??i ?ang ? g?n b? n??c	M?t ?†m ?ìng ng??i ? xa n??c	0.76
M?t nh¢m tr? em m?c ??ng ph?c ?ang ??ng ? c?ng vÖ m?t ??a ?ang hìn m?	M?t nh¢m tr? em m?c cóng m?t b? qu?n †o ?ang ??i ? c?ng vÖ m?t ??a ?ang hìn m?	0.9
M?t nh¢m c†c bÖ m? m?c ??ng ph?c ?ang ??ng g?n nh?ng ??a tr? vÖ m?t ng??i ?ang hìn c?ng	M?t nh¢m tr? em m?c ??ng ph?c ?ang ??ng ? c?ng vÖ m?t ??a ?ang hìn m?	0.66
M?t ng??i ?Ön ìng ?ang ? b?i ??u xe vÖ ?ang ch?i qu?n v?t v?i m?t b?c t??ng l?n	M?t ng??i ?Ön ìng ?ang ? b?i ??u xe vÖ ?ang ch?i qu?n v?t v?i m?t ng??i b?n	0.78
M?t ng??i ?Ön ìng ?ang ? b?i ??u xe vÖ ?ang ch?i qu?n v?t v?i m?t b?c t??ng l?n	Khìng c¢ ng??i ?Ön ìng nÖo ch? vÖo m?t chi?c xe	0.3
M?t ng??i ?Ön ìng ?ang ? b?i ??u xe vÖ ?ang ch?i qu?n v?t v?i m?t ng??i b?n	M?t ng??i ?Ön ìng ?ang ch? vÖo m?t chi?c xe mÖu b?c	0.26
M?t nh¢m ng??i ?ang ? tràn b?i bi?n	M?t nh¢m ng??i ?ang ? g?n bi?n	0.8
M?t nh¢m ng??i ?ang ? tràn b?i bi?n	M?t nh¢m ng??i ?ang ? tràn n£i	0.52
"M?t ng??i ?Ön ìng, m?t ng??i ph? n? vÖ hai cì g†i ?ang ?i b? tràn b?i bi?n"	B?n ng??i ?ang ?i b? tràn b?i bi?n	0.9
M?t nh¢m ng??i ?ang ? tràn b?i bi?n	B?n ng??i ?ang ?i b? tràn b?i bi?n	0.92
"M?t ng??i ?Ön ìng, m?t ng??i ph? n? vÖ hai cì g†i ?ang ?i b? tràn b?i bi?n"	M?t nh¢m ng??i ?ang ? tràn n£i	0.28
"M?t ng??i ?Ön ìng, m?t ng??i ph? n? vÖ hai cì g†i ?ang ?i b? tràn b?i bi?n"	M?t nh¢m ng??i ?ang ? tràn b?i bi?n	0.86
M?t n? sinh mang theo m?t chi?c t£i mÖu ?en tràn m?t chuy?n tÖu ?ìng ?£c	M?t cì g†i v?i chi?c t£i mÖu ?en tràn m?t chuy?n tÖu ?ìng ?£c	0.94
Khìng c¢ cì g†i nÖo mang theo t£i ?en tràn chuy?n tÖu ?ìng ?£c	M?t cì g†i v?i chi?c t£i mÖu ?en tràn m?t chuy?n tÖu ?ìng ?£c	0.74
M?t cì g†i v?i chi?c t£i mÖu ?en tràn m?t chuy?n tÖu ?ìng ?£c	M?t chuy?n tÖu ?en ch?t ch?i n?m tràn chi?c t£i c?a m?t cì g†i	0.54
M?t ph? n? chÉu ? trong ?†m ?ìng khìng mang theo t£i mÖu ?en	M?t ph? n? chÉu ? trong ?†m ?ìng ?ang mang m?t chi?c t£i mÖu ?en	0.76
M?t cì g†i v?i chi?c t£i mÖu ?en tràn m?t chuy?n tÖu ?ìng ?£c	M?t ph? n? chÉu ? trong ?†m ?ìng khìng mang theo t£i mÖu ?en	0.5
M?t n? sinh mang theo m?t chi?c t£i mÖu ?en tràn m?t chuy?n tÖu ?ìng ?£c	M?t ph? n? chÉu ? trong ?†m ?ìng ?ang mang m?t chi?c t£i mÖu ?en	0.56
M?t con ch¢ ?ang ?u?i theo m?t con ch¢ kh†c vÖ ?ang ng?m m?t cÉy g?y trong mi?ng	M?t con ch¢ ?ang ?u?i theo m?t con ch¢ kh†c vÖ ?ang ng?m m?t mi?ng g? trong mi?ng	0.92
Hai con ch¢ ?ang ch?y vÖ ng?m m?t m¢n ?? ch?i trong mi?ng	Hai con ch¢ ?ang ch?y vÖ mang m?t v?t trong mi?ng	0.86
M?t con ch¢ ?ang ?u?i theo m?t con ch¢ kh†c vÖ ?ang ng?m m?t mi?ng g? trong mi?ng	Hai con ch¢ ?ang ch?y vÖ mang m?t v?t trong mi?ng	0.78
Hai con ch¢ ?ang ch?y vÖ mang m?t v?t trong mi?ng	M?t con ch¢ ?ang ?u?i theo m?t cÉy g?y vÖ ng?m m?t con ch¢ kh†c trong mi?ng	0.64
M?t con ch¢ ?ang ?u?i theo m?t con ch¢ kh†c vÖ ?ang ng?m m?t cÉy g?y trong mi?ng	Hai con ch¢ ?ang ch?y vÖ mang m?t v?t trong mi?ng	0.8
M?t qu? b¢ng ?† b?n ?ang l?n vÖo l??i	M?t qu? b¢ng ?† ?ang l?n vÖo l??i	0.9
M?t qu? b¢ng ?† khìng l?n vÖo l??i	M?t qu? b¢ng ?† ?ang l?n vÖo l??i	0.68
