sentence1;sentence2;similarity
Một người đàn ông mặc áo khoác xanh và đi ủng nhảy xuống mương trên đường.;Một người đàn ông nhảy trên mặt nước;0,53
Một người đàn ông mặc áo khoác xanh và đi ủng nhảy xuống mương trên đường.;Một người đàn ông vui vẻ nhảy trên mặt nước;0,60
Một người đàn ông mặc áo khoác xanh và đi ủng nhảy xuống mương trên đường.;Người đàn ông nhảy từ hố nước xuống đường khi đang mưa;0,53
Một người đàn ông nhảy trên mặt nước;Một người đàn ông vui vẻ nhảy trên mặt nước;0,87
Một người đàn ông nhảy trên mặt nước;Người đàn ông nhảy từ hố nước xuống đường khi đang mưa;0,67
Một người đàn ông vui vẻ nhảy trên mặt nước;Người đàn ông nhảy từ hố nước xuống đường khi đang mưa;0,67
Cảnh người đàn ông mặc đồ vàng tham gia môn thể thao trên tuyết;Một người đàn ông đang trượt tuyết trong lúc trăng lưỡi liềm;0,53
Cảnh người đàn ông mặc đồ vàng tham gia môn thể thao trên tuyết;Một người đàn ông đang tham gia các môn thể thao trên tuyết;0,67
Cảnh người đàn ông mặc đồ vàng tham gia môn thể thao trên tuyết;Một người đàn ông đang tham gia các môn thể thao trên tuyết;0,73
Cảnh người đàn ông mặc đồ vàng tham gia môn thể thao trên tuyết;Một người đàn ông mặc bộ đồ màu vàng đang tham gia các môn thể thao trên tuyết;0,87
Một người đàn ông đang trượt tuyết trong lúc trăng lưỡi liềm;Một người đàn ông đang tham gia các môn thể thao trên tuyết;0,60
Một người đàn ông đang trượt tuyết trong lúc trăng lưỡi liềm;Một người đàn ông đang tham gia các môn thể thao trên tuyết;0,60
Một người đàn ông đang trượt tuyết trong lúc trăng lưỡi liềm;Một người đàn ông mặc bộ đồ màu vàng đang tham gia các môn thể thao trên tuyết;0,53
Một người đàn ông đang tham gia các môn thể thao trên tuyết;Một người đàn ông đang tham gia các môn thể thao trên tuyết;0,93
Một người đàn ông đang tham gia các môn thể thao trên tuyết;Một người đàn ông mặc bộ đồ màu vàng đang tham gia các môn thể thao trên tuyết;0,60
Một người đàn ông đang tham gia các môn thể thao trên tuyết;Một người đàn ông mặc bộ đồ màu vàng đang tham gia các môn thể thao trên tuyết;0,60
Một cầu thủ mặc áo trắng đỏ chơi một trận trên sân cỏ;Một cầu thủ bóng chày chuẩn bị ném bóng;0,40
Một cầu thủ mặc áo trắng đỏ chơi một trận trên sân cỏ;Một người đàn ông chuẩn bị ném bóng chày;0,33
Một cầu thủ mặc áo trắng đỏ chơi một trận trên sân cỏ;Một cầu thủ ném bóng;0,33
Một cầu thủ mặc áo trắng đỏ chơi một trận trên sân cỏ;Một cầu thủ chạy nước rút trên sân;0,40
Một cầu thủ bóng chày chuẩn bị ném bóng;Một người đàn ông chuẩn bị ném bóng chày;0,80
Một cầu thủ bóng chày chuẩn bị ném bóng;Một cầu thủ ném bóng;0,53
Một cầu thủ bóng chày chuẩn bị ném bóng;Một cầu thủ chạy nước rút trên sân;0,27
Một người đàn ông chuẩn bị ném bóng chày;Một cầu thủ ném bóng;0,47
Một người đàn ông chuẩn bị ném bóng chày;Một cầu thủ chạy nước rút trên sân;0,27
Một cầu thủ ném bóng;Một cầu thủ chạy nước rút trên sân;0,27
Một người đàn ông đang leo núi tuyết;Một người leo núi tuyết với dụng cụ leo núi;0,67
Một người đàn ông đang leo núi tuyết;Một người đàn ông leo lên ngọn núi tuyết;1
Một người đàn ông đang leo núi tuyết;Một người đàn ông leo lên ngọn núi tuyết;0,93
Một người đàn ông đang leo núi tuyết;Một người đàn ông mặc áo trùm đầu màu đen đang leo núi tuyết;0,73
Một người leo núi tuyết với dụng cụ leo núi;Một người đàn ông leo lên ngọn núi tuyết;0,73
Một người leo núi tuyết với dụng cụ leo núi;Một người đàn ông leo lên ngọn núi tuyết;0,67
Một người leo núi tuyết với dụng cụ leo núi;Một người đàn ông mặc áo trùm đầu màu đen đang leo núi tuyết;0,67
Một người đàn ông leo lên ngọn núi tuyết;Một người đàn ông leo lên ngọn núi tuyết;0,87
Một người đàn ông leo lên ngọn núi tuyết;Một người đàn ông mặc áo trùm đầu màu đen đang leo núi tuyết;0,67
Một người đàn ông leo lên ngọn núi tuyết;Một người đàn ông mặc áo trùm đầu màu đen đang leo núi tuyết;0,67
Trong một khu vực tối tăm, một người đàn ông đang tham gia môn thể thao trên tuyết;Một người đang trượt tuyết vào lúc hoàng hôn;0,73
Trong một khu vực tối tăm, một người đàn ông đang tham gia môn thể thao trên tuyết;Một người đàn ông đang trượt tuyết;0,67
Trong một khu vực tối tăm, một người đàn ông đang tham gia môn thể thao trên tuyết;Một người đàn ông chơi thể thao tuyết trong bóng tối;0,87
Trong một khu vực tối tăm, một người đàn ông đang tham gia môn thể thao trên tuyết;Một vận động viên trượt tuyết thực hiện cú nhảy qua một ngọn núi;0,40
Một người đang trượt tuyết vào lúc hoàng hôn;Một người đàn ông đang trượt tuyết;0,53
Một người đang trượt tuyết vào lúc hoàng hôn;Một người đàn ông chơi thể thao tuyết trong bóng tối;0,73
Một người đang trượt tuyết vào lúc hoàng hôn;Một vận động viên trượt tuyết thực hiện cú nhảy qua một ngọn núi;0,40
Một người đàn ông đang trượt tuyết;Một người đàn ông chơi thể thao tuyết trong bóng tối;0,67
Một người đàn ông đang trượt tuyết;Một vận động viên trượt tuyết thực hiện cú nhảy qua một ngọn núi;0,47
Một người đàn ông chơi thể thao tuyết trong bóng tối;Một vận động viên trượt tuyết thực hiện cú nhảy qua một ngọn núi;0,40
Một đám đông đang xem một cuộc đua xe;Một nhóm người đang quan sát chiếc xe màu xanh trên đường đua ô tô;0,67
Một đám đông đang xem một cuộc đua xe;Một chiếc xe màu chính thức đang trong một cuộc đua xe;0,33
Một đám đông đang xem một cuộc đua xe;Một nhóm người đang xem một cuộc đua xe;0,87
Một đám đông đang xem một cuộc đua xe;Một nhóm người theo dõi một chiếc ô tô đang phóng nhanh trên con đường đầy cát;0,67
Một nhóm người đang quan sát chiếc xe màu xanh trên đường đua ô tô;Một chiếc xe màu chính thức đang trong một cuộc đua xe;0,47
Một nhóm người đang quan sát chiếc xe màu xanh trên đường đua ô tô;Một nhóm người đang xem một cuộc đua xe;0,67
Một nhóm người đang quan sát chiếc xe màu xanh trên đường đua ô tô;Một nhóm người theo dõi một chiếc ô tô đang phóng nhanh trên con đường đầy cát;0,80
Một chiếc xe màu chính thức đang trong một cuộc đua xe;Một nhóm người đang xem một cuộc đua xe;0,33
Một chiếc xe màu chính thức đang trong một cuộc đua xe;Một nhóm người theo dõi một chiếc ô tô đang phóng nhanh trên con đường đầy cát;0,33
Một nhóm người đang xem một cuộc đua xe;Một nhóm người theo dõi một chiếc ô tô đang phóng nhanh trên con đường đầy cát;0,60
Một nhóm người nhảy lên nhảy xuống vui vẻ;6 người đang chơi bóng trên mặt đất khô ráo;0,27
Một nhóm người nhảy lên nhảy xuống vui vẻ;Một nhóm người nhảy lên;0,87
Một nhóm người nhảy lên nhảy xuống vui vẻ;Một nhóm người nhảy lên;0,87
Một nhóm người nhảy lên nhảy xuống vui vẻ;Một nhóm damans nhảy lên một quả bóng trên sàn có sọc;0,53
6 người đang chơi bóng trên mặt đất khô ráo;Một nhóm người nhảy lên;0,33
6 người đang chơi bóng trên mặt đất khô ráo;Một nhóm người nhảy lên;0,33
6 người đang chơi bóng trên mặt đất khô ráo;Một nhóm damans nhảy lên một quả bóng trên sàn có sọc;0,53
Một nhóm người nhảy lên;Một nhóm người nhảy lên;0,93
Một nhóm người nhảy lên;Một nhóm damans nhảy lên một quả bóng trên sàn có sọc;0,53
Một nhóm người nhảy lên;Một nhóm damans nhảy lên một quả bóng trên sàn có sọc;0,53
Vận động viên tuyết;Một người nông dân đang trượt tuyết trên vùng núi;0,47
Vận động viên tuyết;Một người đàn ông lơ lửng trên không và chơi các môn thể thao trên tuyết;0,60
Vận động viên tuyết;Một người đang tham gia các môn thể thao trên tuyết;0,53
Vận động viên tuyết;Một người đàn ông mặc quần áo đầy màu sắc trượt tuyết và nhảy;0,73
Một người nông dân đang trượt tuyết trên vùng núi;Một người đàn ông lơ lửng trên không và chơi các môn thể thao trên tuyết;0,60
Một người nông dân đang trượt tuyết trên vùng núi;Một người đang tham gia các môn thể thao trên tuyết;0,60
Một người nông dân đang trượt tuyết trên vùng núi;Một người đàn ông mặc quần áo đầy màu sắc trượt tuyết và nhảy;0,47
Một người đàn ông lơ lửng trên không và chơi các môn thể thao trên tuyết;Một người đang tham gia các môn thể thao trên tuyết;0,67
Một người đàn ông lơ lửng trên không và chơi các môn thể thao trên tuyết;Một người đàn ông mặc quần áo đầy màu sắc trượt tuyết và nhảy;0,67
Một người đang tham gia các môn thể thao trên tuyết;Một người đàn ông mặc quần áo đầy màu sắc trượt tuyết và nhảy;0,53
Một người chơi quần vợt nhấc vợt lên và đánh bóng;Một cầu thủ mặc áo xanh, đội mũ xanh đang chơi quần vợt;0,53
Một người chơi quần vợt nhấc vợt lên và đánh bóng;Một người chơi đang chơi quần vợt;0,60
Một người chơi quần vợt nhấc vợt lên và đánh bóng;Một người chơi đang chơi quần vợt;0,67
Một người chơi quần vợt nhấc vợt lên và đánh bóng;Một người chơi quần vợt đánh một quả bóng;0,73
Một cầu thủ mặc áo xanh, đội mũ xanh đang chơi quần vợt;Một người chơi đang chơi quần vợt;0,67
Một cầu thủ mặc áo xanh, đội mũ xanh đang chơi quần vợt;Một người chơi đang chơi quần vợt;0,67
Một cầu thủ mặc áo xanh, đội mũ xanh đang chơi quần vợt;Một người chơi quần vợt đánh một quả bóng;0,53
Một người chơi đang chơi quần vợt;Một người chơi đang chơi quần vợt;1
Một người chơi đang chơi quần vợt;Một người chơi quần vợt đánh một quả bóng;0,67
Một người chơi đang chơi quần vợt;Một người chơi quần vợt đánh một quả bóng;0,67
Ba cầu thủ bóng rổ;Ba cầu thủ bóng rổ đang tập trung vào quả bóng trên không;0,60
Ba cầu thủ bóng rổ;Các cầu thủ đang chơi bóng rổ;0,80
Ba cầu thủ bóng rổ;Các cầu thủ chăm chú theo dõi;0,33
Ba cầu thủ bóng rổ;Ba cầu thủ bóng rổ đang xem thứ gì đó rất thích thú;0,40
Ba cầu thủ bóng rổ đang tập trung vào quả bóng trên không;Các cầu thủ đang chơi bóng rổ;0,47
Ba cầu thủ bóng rổ đang tập trung vào quả bóng trên không;Các cầu thủ chăm chú theo dõi;0,60
Ba cầu thủ bóng rổ đang tập trung vào quả bóng trên không;Ba cầu thủ bóng rổ đang xem thứ gì đó rất thích thú;0,60
Các cầu thủ đang chơi bóng rổ;Các cầu thủ chăm chú theo dõi;0,40
Các cầu thủ đang chơi bóng rổ;Ba cầu thủ bóng rổ đang xem thứ gì đó rất thích thú;0,33
Các cầu thủ chăm chú theo dõi;Ba cầu thủ bóng rổ đang xem thứ gì đó rất thích thú;0,60
Một tay đua xe máy cuồng nhiệt;Một người đàn ông lái chiếc mô tô màu đỏ của mình lên không trung trong buổi biểu diễn mô tô mạo hiểm;0,67
Một tay đua xe máy cuồng nhiệt;Một chiếc xe máy bay trên không;0,80
Một tay đua xe máy cuồng nhiệt;Một chiếc xe máy lao qua sườn núi;0,60
Một tay đua xe máy cuồng nhiệt;Đông đảo người dân chứng kiến cảnh xe máy lao qua rào chắn rất cao;0,40
Một người đàn ông lái chiếc mô tô màu đỏ của mình lên không trung trong buổi biểu diễn mô tô mạo hiểm;Một chiếc xe máy bay trên không;0,60
Một người đàn ông lái chiếc mô tô màu đỏ của mình lên không trung trong buổi biểu diễn mô tô mạo hiểm;Một chiếc xe máy lao qua sườn núi;0,53
Một người đàn ông lái chiếc mô tô màu đỏ của mình lên không trung trong buổi biểu diễn mô tô mạo hiểm;Đông đảo người dân chứng kiến cảnh xe máy lao qua rào chắn rất cao;0,53
Một chiếc xe máy bay trên không;Một chiếc xe máy lao qua sườn núi;0,53
Một chiếc xe máy bay trên không;Đông đảo người dân chứng kiến cảnh xe máy lao qua rào chắn rất cao;0,40
Một chiếc xe máy lao qua sườn núi;Đông đảo người dân chứng kiến cảnh xe máy lao qua rào chắn rất cao;0,33
Một người đàn ông đang thực hiện karanam trên ván trượt;Một người đàn ông mặc áo xanh đang trượt patin trên một tòa nhà.;0,47
Một người đàn ông đang thực hiện karanam trên ván trượt;Một người đàn ông nhảy xuống cầu thang;0,20
Một người đàn ông đang thực hiện karanam trên ván trượt;Một người nhảy qua cầu thang;0,20
Một người đàn ông đang thực hiện karanam trên ván trượt;Một cậu bé ngồi trên ván trượt có bánh xe nhảy xuống cầu thang;0,40
Một người đàn ông mặc áo xanh đang trượt patin trên một tòa nhà.;Một người đàn ông nhảy xuống cầu thang;0,47
Một người đàn ông mặc áo xanh đang trượt patin trên một tòa nhà.;Một người nhảy qua cầu thang;0,40
Một người đàn ông mặc áo xanh đang trượt patin trên một tòa nhà.;Một cậu bé ngồi trên ván trượt có bánh xe nhảy xuống cầu thang;0,47
Một người đàn ông nhảy xuống cầu thang;Một người nhảy qua cầu thang;0,80
Một người đàn ông nhảy xuống cầu thang;Một cậu bé ngồi trên ván trượt có bánh xe nhảy xuống cầu thang;0,60
Một người nhảy qua cầu thang;Một cậu bé ngồi trên ván trượt có bánh xe nhảy xuống cầu thang;0,47
Một người đàn ông đi xe đạp trên một ngọn đồi;Một người đi xe đạp leo núi đua ngoài trời vào ban đêm;0,40
Một người đàn ông đi xe đạp trên một ngọn đồi;Một đứa trẻ đi xe đạp;0,53
Một người đàn ông đi xe đạp trên một ngọn đồi;Một người đàn ông đi xe đạp trên một con đường gồ ghề;0,67
Một người đàn ông đi xe đạp trên một ngọn đồi;Một người phụ nữ đi xe đạp trên con đường gồ ghề;0,60
Một người đi xe đạp leo núi đua ngoài trời vào ban đêm;Một đứa trẻ đi xe đạp;0,60
Một người đi xe đạp leo núi đua ngoài trời vào ban đêm;Một người đàn ông đi xe đạp trên một con đường gồ ghề;0,47
Một người đi xe đạp leo núi đua ngoài trời vào ban đêm;Một người phụ nữ đi xe đạp trên con đường gồ ghề;0,47
Một đứa trẻ đi xe đạp;Một người đàn ông đi xe đạp trên một con đường gồ ghề;0,60
Một đứa trẻ đi xe đạp;Một người phụ nữ đi xe đạp trên con đường gồ ghề;0,47
Một người đàn ông đi xe đạp trên một con đường gồ ghề;Một người phụ nữ đi xe đạp trên con đường gồ ghề;0,73
Một người chơi quần vợt giơ gậy lên và đánh bóng;Nữ vận động viên áo xanh đánh bóng tennis trong tư thế hài hước;0,60
Một người chơi quần vợt giơ gậy lên và đánh bóng;Một nữ vận động viên đang chơi quần vợt;0,67
Một người chơi quần vợt giơ gậy lên và đánh bóng;Một người chơi đánh một quả bóng tennis;0,67
Một người chơi quần vợt giơ gậy lên và đánh bóng;Một người chơi cầu lông đánh bóng sai;0,33
Nữ vận động viên áo xanh đánh bóng tennis trong tư thế hài hước;Một nữ vận động viên đang chơi quần vợt;0,60
Nữ vận động viên áo xanh đánh bóng tennis trong tư thế hài hước;Một người chơi đánh một quả bóng tennis;0,67
Nữ vận động viên áo xanh đánh bóng tennis trong tư thế hài hước;Một người chơi cầu lông đánh bóng sai;0,33
Một nữ vận động viên đang chơi quần vợt;Một người chơi đánh một quả bóng tennis;0,80
Một nữ vận động viên đang chơi quần vợt;Một người chơi cầu lông đánh bóng sai;0,40
Một người chơi đánh một quả bóng tennis;Một người chơi cầu lông đánh bóng sai;0,40
Một người đàn ông đang làm karanam trên xe máy;Người đàn ông mặc áo khoác đen thể hiện những pha nhào lộn trên mô tô trước đám đông;0,67
Một người đàn ông đang làm karanam trên xe máy;Một người đàn ông lái một chiếc ô tô;0,67
Một người đàn ông đang làm karanam trên xe máy;Một người đi xe máy một bánh;0,60
Một người đàn ông đang làm karanam trên xe máy;Một nhóm người xem tiết mục xiếc do một người đàn ông đi xe máy biểu diễn;0,53
Người đàn ông mặc áo khoác đen thể hiện những pha nhào lộn trên mô tô trước đám đông;Một người đàn ông lái một chiếc ô tô;0,60
Người đàn ông mặc áo khoác đen thể hiện những pha nhào lộn trên mô tô trước đám đông;Một người đi xe máy một bánh;0,47
Người đàn ông mặc áo khoác đen thể hiện những pha nhào lộn trên mô tô trước đám đông;Một nhóm người xem tiết mục xiếc do một người đàn ông đi xe máy biểu diễn;0,60
Một người đàn ông lái một chiếc ô tô;Một người đi xe máy một bánh;0,47
Một người đàn ông lái một chiếc ô tô;Một nhóm người xem tiết mục xiếc do một người đàn ông đi xe máy biểu diễn;0,40
Một người đi xe máy một bánh;Một nhóm người xem tiết mục xiếc do một người đàn ông đi xe máy biểu diễn;0,47
Một người đàn ông đua xe máy;Một người đàn ông mặc áo khoác đen đang đi xe máy;0,67
Một người đàn ông đua xe máy;Một người đàn ông lái một chiếc ô tô;0,53
Một người đàn ông đua xe máy;Một người đi xe máy;0,87
Một người đàn ông đua xe máy;Một người đàn ông lái chiếc môtô kiểu cũ rẽ vào một lối rẽ;0,53
Một người đàn ông mặc áo khoác đen đang đi xe máy;Một người đàn ông lái một chiếc ô tô;0,53
Một người đàn ông mặc áo khoác đen đang đi xe máy;Một người đi xe máy;0,73
Một người đàn ông mặc áo khoác đen đang đi xe máy;Một người đàn ông lái chiếc môtô kiểu cũ rẽ vào một lối rẽ;0,47
Một người đàn ông lái một chiếc ô tô;Một người đi xe máy;0,60
Một người đàn ông lái một chiếc ô tô;Một người đàn ông lái chiếc môtô kiểu cũ rẽ vào một lối rẽ;0,40
Một người đi xe máy;Một người đàn ông lái chiếc môtô kiểu cũ rẽ vào một lối rẽ;0,67
Một người đàn ông đua xe máy;Một người đàn ông mặc áo khoác đỏ đang phóng nhanh trên chiếc xe máy màu đỏ của mình;0,67
Một người đàn ông đua xe máy;Một người đàn ông lái một chiếc ô tô;0,33
Một người đàn ông đua xe máy;Một người đi chiếc xe máy màu đỏ có một bánh;0,60
Một người đàn ông đua xe máy;Một người đàn ông mặc bộ đồ sặc sỡ giống màu xe máy nhấc bánh trước lên khi đang tăng tốc.;0,53
Một người đàn ông mặc áo khoác đỏ đang phóng nhanh trên chiếc xe máy màu đỏ của mình;Một người đàn ông lái một chiếc ô tô;0,47
Một người đàn ông mặc áo khoác đỏ đang phóng nhanh trên chiếc xe máy màu đỏ của mình;Một người đi chiếc xe máy màu đỏ có một bánh;0,60
Một người đàn ông mặc áo khoác đỏ đang phóng nhanh trên chiếc xe máy màu đỏ của mình;Một người đàn ông mặc bộ đồ sặc sỡ giống màu xe máy nhấc bánh trước lên khi đang tăng tốc.;0,80
Một người đàn ông lái một chiếc ô tô;Một người đi chiếc xe máy màu đỏ có một bánh;0,40
Một người đàn ông lái một chiếc ô tô;Một người đàn ông mặc bộ đồ sặc sỡ giống màu xe máy nhấc bánh trước lên khi đang tăng tốc.;0,40
Một người đi chiếc xe máy màu đỏ có một bánh;Một người đàn ông mặc bộ đồ sặc sỡ giống màu xe máy nhấc bánh trước lên khi đang tăng tốc.;0,73
Một chiếc thuyền buồm đang lướt trên biển;Một con tàu ra khơi lúc hoàng hôn;0,80
Một chiếc thuyền buồm đang lướt trên biển;Không có cánh buồm nào nổi trên biển;0,87
Một chiếc thuyền buồm đang lướt trên biển;Một chiếc thuyền buồm ra khơi vào buổi tối;0,80
Một chiếc thuyền buồm đang lướt trên biển;Đằng sau một con tàu đang di chuyển trên biển, có nhiều chiếc thuyền nhỏ khác đang di chuyển;0,53
Một con tàu ra khơi lúc hoàng hôn;Không có cánh buồm nào nổi trên biển;0,60
Một con tàu ra khơi lúc hoàng hôn;Một chiếc thuyền buồm ra khơi vào buổi tối;0,60
